                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                0.91952,                0.51066,                0.96636,                      0,                      0,                      0,                      0,                 5.0235,                 6.9127,                  3.083,             0.00010179,             0.00010179,             0.00010179
                    136,                0.91353,                0.53344,                0.97914,                      0,                      0,                      0,                      0,                 4.7195,                 6.8235,                 3.0397,             9.6295e-05,             9.6295e-05,             9.6295e-05
                    137,                0.89425,                0.49746,                0.96254,                      0,                      0,                      0,                      0,                 4.9763,                 6.4445,                 3.1432,             9.0797e-05,             9.0797e-05,             9.0797e-05
                    138,                0.89743,                0.49764,                0.95959,                      0,                      0,                      0,                      0,                 4.9843,                 6.9102,                 3.1565,             8.5299e-05,             8.5299e-05,             8.5299e-05
                    139,                0.88645,                 0.4999,                0.96065,                      0,                      0,                      0,                      0,                 4.6864,                 7.3719,                 2.9861,             7.9801e-05,             7.9801e-05,             7.9801e-05
                    140,                0.89481,                 0.5095,                0.95659,                      0,                      0,                      0,                      0,                 4.9198,                 6.8267,                 3.0748,             7.4304e-05,             7.4304e-05,             7.4304e-05
                    141,                0.91673,                0.48052,                0.97742,                      0,                      0,                      0,                      0,                 5.3311,                 7.4645,                 3.2065,             6.8806e-05,             6.8806e-05,             6.8806e-05
                    142,                0.86824,                0.45977,                0.96265,                      0,                      0,                      0,                      0,                 5.2915,                 7.5819,                 3.2411,             6.3308e-05,             6.3308e-05,             6.3308e-05
                    143,                0.88881,                0.51101,                0.98221,                      0,                      0,                      0,                      0,                 4.9843,                 7.4279,                 3.1103,              5.781e-05,              5.781e-05,              5.781e-05
                    144,                0.83747,                0.44361,                0.95501,                      0,                      0,                      0,                      0,                 5.1039,                 6.9492,                  3.204,             5.2312e-05,             5.2312e-05,             5.2312e-05
                    145,                0.84337,                0.45377,                0.95681,                      0,                      0,                      0,                      0,                 4.8832,                 6.9415,                 3.0981,             4.6815e-05,             4.6815e-05,             4.6815e-05
                    146,                 0.8272,                0.44375,                0.94878,                      0,                      0,                      0,                      0,                 4.9268,                 6.8757,                 3.1312,             4.1317e-05,             4.1317e-05,             4.1317e-05
                    147,                0.81599,                0.43607,                 0.9464,                      0,                      0,                      0,                      0,                 4.7093,                 6.8609,                 3.1171,             3.5819e-05,             3.5819e-05,             3.5819e-05
                    148,                0.81313,                0.43782,                0.94262,                      0,                      0,                      0,                      0,                 4.7547,                 6.9873,                  3.099,             3.0321e-05,             3.0321e-05,             3.0321e-05
                    149,                0.81682,                0.45055,                0.94468,                      0,                      0,                      0,                      0,                 4.5712,                 6.9856,                 3.0471,             2.4823e-05,             2.4823e-05,             2.4823e-05
                    150,                0.81696,                0.46445,                0.94696,                      0,                      0,                      0,                      0,                 4.5761,                 6.9964,                 3.1273,             1.9326e-05,             1.9326e-05,             1.9326e-05
